DCC174;INTERAÇÃO HUMANO-COMPUTADOR;A;4a 21-23;5a 19-21;4;P3;ANDRE;06.ES;Noturno
EADDCC025;MODELAGEM DE SISTEMAS;A;EAD;;2;P18;JOSE MARIA;06.ES;EAD
EADDCC036;INTERFACE USUÁRIO – MÁQUINA;A;EAD;;2;P18;JOSE MARIA;06.ES;EAD
EADDCC037;PROJETO DE SOFTWARE EDUCACIONAL;A;EAD;;4;P11;FERNANDA;06.ES;EAD
ELEES;ELETIVA DE ENGENHARIA DE SOFTWARE;A;3a 16-18;4a 16-18;4;P34;REGINA;06.ES;Diurno
ELEES;ELETIVA DE ENGENHARIA DE SOFTWARE;B;2a 19-21;4a 21-23;4;P18;JOSE MARIA;06.ES;Noturno
DCC014;INTELIGENCIA ARTIFICIAL;A;2a 14-16;4a 16-18;4;P40;SAULO;07.IA/IC;Diurno
DCC059;TEORIA DOS GRAFOS;A;3a 16-18;5a 14-16;4;P41;STENIO;07.IA/IC;Diurno
DCC067;COMPUTAÇÃO EVOLUCIONISTA;A;5a 16-18;6a 14-16;4;P13;HELIO;07.IA/IC;Diurno
DCC068;REDES NEURAIS ARTIFICIAIS;A;3a 21-23;6a 19-21;4;P33;RAUL;07.IA/IC;Noturno
DCC136;INTELIGÊNCIA COMPUTACIONAL;A;3a 16-18;4a 16-18;4;P23;LUCIANA BRUG;07.IA/IC;Diurno
DCC160;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO;A;2a 14-16;4a 16-18;4;P24;LUCIANA CAMPOS;07.IA/IC;Diurno
EADDCC003;LÓGICA PARA COMPUTAÇÃO;A;EAD;;4;P24;LUCIANA CAMPOS;07.IA/IC;EAD
EADDCC038;INFORMÁTICA NA EDUCAÇÃO;A;EAD;;2;P19;LIAMARA;08.HUM/EMPR;EAD
EADDCC049;ASPECTOS LEGAIS DA INFORMÁTICA;A;EAD;;4;P42;TARCISIO;08.HUM/EMPR;EAD
DCC008;CALCULO NUMERICO;A;2a 10-12;5a 10-12;4;P38;RUBENS;09.NUM/OC;Diurno
DCC008;CALCULO NUMERICO;B;2a 10-12;5a 10-12;4;P16;IURY;09.NUM/OC;Diurno
DCC008;CALCULO NUMERICO;C;2a 16-18;5a 16-18;4;P38;RUBENS;09.NUM/OC;Diurno
DCC008;CALCULO NUMERICO;D;2a 16-18;5a 16-18;4;P39;SAUL;09.NUM/OC;Diurno
DCC008;CALCULO NUMERICO;E;2a 21-23;5a 21-23;2;P13;HELIO;09.NUM/OC;Noturno
DCC090;TOPICOS EM COMPUTACAO CIENTIFICA II;A;2a 14-16;4a 14-16;4;P20;CRISTIANO;09.NUM/OC;Diurno
DCC163;PESQUISA OPERACIONAL;A;2a 21-23;5a 21-23;4;P39;SAUL;09.NUM/OC;Noturno
